KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Human Diseases	Cardiovascular diseases	hsa05414	  "Dilated cardiomyopathy - Homo sapiens (human)"	90	['hsa:2778', 'hsa:7042', 'hsa:6445', 'hsa:7134', 'hsa:7043', 'hsa:109', 'hsa:783', 'hsa:5613', 'hsa:5350']	9	['hsa:783', 'hsa:1605', 'hsa:112', 'hsa:5613', 'hsa:4624', 'hsa:5350', 'hsa:6262', 'hsa:3679', 'hsa:109', 'hsa:3685', 'hsa:3695', 'hsa:3688', 'hsa:55799', 'hsa:4000', 'hsa:3678', 'hsa:115', 'hsa:6443', 'hsa:3675', 'hsa:3674', 'hsa:60', 'hsa:3693', 'hsa:2778', 'hsa:4625', 'hsa:7042', 'hsa:2010', 'hsa:6445', 'hsa:7040', 'hsa:3696', 'hsa:7134', 'hsa:7043']	30	30.0
Environmental Information Processing	Membrane transport	hsa02010	  "ABC transporters - Homo sapiens (human)"	44	['hsa:5244', 'hsa:19']	2	['hsa:19', 'hsa:21', 'hsa:225', 'hsa:11194', 'hsa:10257', 'hsa:22', 'hsa:9619', 'hsa:5244', 'hsa:6833', 'hsa:10347', 'hsa:10060', 'hsa:8647', 'hsa:5243', 'hsa:215', 'hsa:4363', 'hsa:8714', 'hsa:5825', 'hsa:9429']	18	11.11111111111111
Organismal Systems	Sensory system	hsa04742	  "Taste transduction - Homo sapiens (human)"	53	['hsa:2778', 'hsa:5613', 'hsa:353164']	3	['hsa:112', 'hsa:5613', 'hsa:353164', 'hsa:5330', 'hsa:2778']	5	60.0
Organismal Systems	Immune system	hsa04640	  "Hematopoietic cell lineage - Homo sapiens (human)"	87	['hsa:2208', 'hsa:1791', 'hsa:914', 'hsa:1604']	4	['hsa:3575', 'hsa:2993', 'hsa:2811', 'hsa:1604', 'hsa:1378', 'hsa:3590', 'hsa:3678', 'hsa:952', 'hsa:3675', 'hsa:3674', 'hsa:928', 'hsa:920', 'hsa:933', 'hsa:960', 'hsa:7037', 'hsa:3566', 'hsa:2323', 'hsa:2208', 'hsa:1791', 'hsa:921', 'hsa:7850', 'hsa:914']	22	18.181818181818183
Human Diseases	Cancers	hsa05215	  "Prostate cancer - Homo sapiens (human)"	89	['hsa:1387', 'hsa:2932', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:1869', 'hsa:5595', 'hsa:898', 'hsa:595', 'hsa:1385', 'hsa:468', 'hsa:5894', 'hsa:4193', 'hsa:51176', 'hsa:5925', 'hsa:7157', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:6934', 'hsa:2885']	21	['hsa:7184', 'hsa:1499', 'hsa:5604', 'hsa:5728', 'hsa:5970', 'hsa:2885', 'hsa:5154', 'hsa:1147', 'hsa:5290', 'hsa:1026', 'hsa:5605', 'hsa:468', 'hsa:5894', 'hsa:842', 'hsa:4193', 'hsa:51176', 'hsa:5925', 'hsa:3480', 'hsa:5170', 'hsa:7157', 'hsa:2064', 'hsa:207', 'hsa:148327', 'hsa:56034', 'hsa:5295', 'hsa:9586', 'hsa:1956', 'hsa:6934', 'hsa:2308', 'hsa:90993', 'hsa:7039', 'hsa:572', 'hsa:1387', 'hsa:2263', 'hsa:3320', 'hsa:2932', 'hsa:2950', 'hsa:3326', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:4792', 'hsa:1869', 'hsa:5595', 'hsa:3551', 'hsa:898', 'hsa:10488', 'hsa:4790', 'hsa:595', 'hsa:1027', 'hsa:1871', 'hsa:5159', 'hsa:6654', 'hsa:10000', 'hsa:8503', 'hsa:1385']	56	37.5
Metabolism	Amino acid metabolism	hsa00280	  "Valine, leucine and isoleucine degradation - Homo sapiens (human)"	47	['hsa:3028', 'hsa:11112', 'hsa:35', 'hsa:26275']	4	['hsa:501', 'hsa:10449', 'hsa:36', 'hsa:26275', 'hsa:35', 'hsa:84693', 'hsa:1892', 'hsa:3712', 'hsa:64087', 'hsa:219', 'hsa:1629', 'hsa:316', 'hsa:3033', 'hsa:223', 'hsa:4594', 'hsa:30', 'hsa:3028', 'hsa:38', 'hsa:56922', 'hsa:65985', 'hsa:5019', 'hsa:3030', 'hsa:1738', 'hsa:11112', 'hsa:3157', 'hsa:34', 'hsa:4329', 'hsa:39']	28	14.285714285714285
Metabolism	Metabolism of cofactors and vitamins	hsa00770	  "Pantothenate and CoA biosynthesis - Homo sapiens (human)"	18	['hsa:60496']	1	['hsa:79717', 'hsa:60490', 'hsa:339896', 'hsa:60496', 'hsa:80347']	5	20.0
Human Diseases	Substance dependence	hsa05031	  "Amphetamine addiction - Homo sapiens (human)"	68	['hsa:2778', 'hsa:1386', 'hsa:3065', 'hsa:1385', 'hsa:468', 'hsa:148327', 'hsa:9586', 'hsa:814', 'hsa:2353', 'hsa:3725', 'hsa:5613', 'hsa:1388']	12	['hsa:2353', 'hsa:5499', 'hsa:3725', 'hsa:51806', 'hsa:5613', 'hsa:801', 'hsa:5500', 'hsa:1388', 'hsa:468', 'hsa:1644', 'hsa:5530', 'hsa:6531', 'hsa:148327', 'hsa:9586', 'hsa:814', 'hsa:5578', 'hsa:90993', 'hsa:4129', 'hsa:2778', 'hsa:23411', 'hsa:10488', 'hsa:1386', 'hsa:3065', 'hsa:1385', 'hsa:5533']	25	48.0
Metabolism	Energy metabolism	hsa00920	  "Sulfur metabolism - Homo sapiens (human)"	10	['hsa:54928', 'hsa:10380']	2	['hsa:54205', 'hsa:4357', 'hsa:7263', 'hsa:58472', 'hsa:9061', 'hsa:10380', 'hsa:54928', 'hsa:23474']	8	25.0
Human Diseases	Infectious diseases	hsa05168	  "Herpes simplex infection - Homo sapiens (human)"	186	['hsa:1387', 'hsa:8454', 'hsa:7185', 'hsa:6672', 'hsa:27102', 'hsa:2033', 'hsa:6430', 'hsa:1457', 'hsa:1936', 'hsa:54926', 'hsa:5818', 'hsa:8683', 'hsa:6428', 'hsa:6908', 'hsa:6432', 'hsa:6429', 'hsa:6431', 'hsa:148022', 'hsa:7187', 'hsa:406', 'hsa:9575', 'hsa:27097', 'hsa:6426', 'hsa:5371', 'hsa:6875', 'hsa:7157', 'hsa:56000', 'hsa:6877', 'hsa:3460', 'hsa:10482', 'hsa:836', 'hsa:3190', 'hsa:6881', 'hsa:2353', 'hsa:3725', 'hsa:5430', 'hsa:10189', 'hsa:51616', 'hsa:10445', 'hsa:6884', 'hsa:1616', 'hsa:1460', 'hsa:3150']	43	['hsa:3600', 'hsa:836', 'hsa:3190', 'hsa:6881', 'hsa:8772', 'hsa:983', 'hsa:2353', 'hsa:6773', 'hsa:54205', 'hsa:5499', 'hsa:3054', 'hsa:4615', 'hsa:5970', 'hsa:7189', 'hsa:3725', 'hsa:5781', 'hsa:5430', 'hsa:10189', 'hsa:3434', 'hsa:51616', 'hsa:7874', 'hsa:10445', 'hsa:6884', 'hsa:1616', 'hsa:1460', 'hsa:3133', 'hsa:3150', 'hsa:1147', 'hsa:5500', 'hsa:10379', 'hsa:6431', 'hsa:718', 'hsa:3661', 'hsa:7186', 'hsa:148022', 'hsa:440275', 'hsa:6874', 'hsa:7187', 'hsa:8864', 'hsa:406', 'hsa:1965', 'hsa:9575', 'hsa:6885', 'hsa:27097', 'hsa:6041', 'hsa:6426', 'hsa:25833', 'hsa:5371', 'hsa:6875', 'hsa:7157', 'hsa:3454', 'hsa:6502', 'hsa:56000', 'hsa:6877', 'hsa:8764', 'hsa:3455', 'hsa:3460', 'hsa:112950', 'hsa:6427', 'hsa:10482', 'hsa:1387', 'hsa:9569', 'hsa:972', 'hsa:355', 'hsa:3459', 'hsa:8863', 'hsa:5601', 'hsa:8454', 'hsa:5610', 'hsa:7185', 'hsa:841', 'hsa:6672', 'hsa:7132', 'hsa:7188', 'hsa:27102', 'hsa:57506', 'hsa:4938', 'hsa:6732', 'hsa:997', 'hsa:10454', 'hsa:2033', 'hsa:6430', 'hsa:4792', 'hsa:1457', 'hsa:3551', 'hsa:1936', 'hsa:29997', 'hsa:7297', 'hsa:6878', 'hsa:23586', 'hsa:54926', 'hsa:708', 'hsa:4790', 'hsa:5818', 'hsa:4940', 'hsa:4939', 'hsa:29915', 'hsa:8683', 'hsa:6428', 'hsa:6908', 'hsa:6500', 'hsa:6772', 'hsa:6432', 'hsa:6429']	104	41.34615384615385
Cellular Processes	Transport and catabolism	hsa04140	  "Regulation of autophagy - Homo sapiens (human)"	39	['hsa:5562', 'hsa:89849']	2	['hsa:89849', 'hsa:9776', 'hsa:8408', 'hsa:30849', 'hsa:10533', 'hsa:84938', 'hsa:22863', 'hsa:5562', 'hsa:64422', 'hsa:83734', 'hsa:9474', 'hsa:115201']	12	16.666666666666664
Environmental Information Processing	Signal transduction	hsa04066	  "HIF-1 signaling pathway - Homo sapiens (human)"	103	['hsa:1387', 'hsa:2872', 'hsa:5594', 'hsa:2033', 'hsa:5595', 'hsa:8453', 'hsa:7428', 'hsa:7099', 'hsa:207', 'hsa:405', 'hsa:3460', 'hsa:5209', 'hsa:112398']	13	['hsa:5162', 'hsa:6774', 'hsa:5604', 'hsa:5209', 'hsa:3643', 'hsa:5970', 'hsa:6199', 'hsa:1978', 'hsa:5336', 'hsa:112398', 'hsa:5290', 'hsa:5335', 'hsa:1026', 'hsa:5605', 'hsa:7428', 'hsa:3939', 'hsa:54583', 'hsa:9470', 'hsa:7099', 'hsa:6194', 'hsa:3480', 'hsa:2064', 'hsa:5211', 'hsa:207', 'hsa:405', 'hsa:5295', 'hsa:1956', 'hsa:226', 'hsa:1977', 'hsa:5578', 'hsa:3460', 'hsa:1387', 'hsa:3459', 'hsa:7037', 'hsa:2023', 'hsa:1906', 'hsa:2872', 'hsa:5594', 'hsa:3162', 'hsa:2033', 'hsa:3091', 'hsa:51378', 'hsa:7076', 'hsa:5595', 'hsa:5054', 'hsa:8453', 'hsa:6198', 'hsa:2027', 'hsa:4790', 'hsa:1027', 'hsa:4055', 'hsa:2597', 'hsa:7422', 'hsa:10000', 'hsa:6513', 'hsa:8503']	56	23.214285714285715
Environmental Information Processing	Signal transduction	hsa04071	  "Sphingolipid signaling pathway - Homo sapiens (human)"	120	['hsa:2534', 'hsa:5594', 'hsa:5595', 'hsa:1432', 'hsa:5894', 'hsa:7157', 'hsa:207', 'hsa:5331', 'hsa:134', 'hsa:253782']	10	['hsa:8879', 'hsa:5604', 'hsa:5728', 'hsa:253782', 'hsa:5970', 'hsa:8877', 'hsa:23236', 'hsa:5600', 'hsa:6300', 'hsa:259230', 'hsa:5290', 'hsa:5605', 'hsa:7186', 'hsa:5338', 'hsa:5894', 'hsa:9475', 'hsa:6610', 'hsa:5879', 'hsa:5519', 'hsa:5330', 'hsa:91012', 'hsa:5170', 'hsa:7157', 'hsa:207', 'hsa:29956', 'hsa:5295', 'hsa:2768', 'hsa:5331', 'hsa:5529', 'hsa:204219', 'hsa:5578', 'hsa:134', 'hsa:2534', 'hsa:637', 'hsa:8439', 'hsa:5601', 'hsa:7132', 'hsa:387', 'hsa:5590', 'hsa:5523', 'hsa:5337', 'hsa:5527', 'hsa:10558', 'hsa:5594', 'hsa:9517', 'hsa:8717', 'hsa:5595', 'hsa:4363', 'hsa:5518', 'hsa:4790', 'hsa:1432', 'hsa:5528', 'hsa:2771', 'hsa:10000', 'hsa:8503']	55	18.181818181818183
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	  "Drug metabolism - cytochrome P450 - Homo sapiens (human)"	68	['hsa:221', 'hsa:119391', 'hsa:4258', 'hsa:4259']	4	['hsa:220', 'hsa:373156', 'hsa:2946', 'hsa:2947', 'hsa:316', 'hsa:4259', 'hsa:221', 'hsa:2328', 'hsa:4257', 'hsa:119391', 'hsa:4129', 'hsa:2950', 'hsa:4258', 'hsa:1565', 'hsa:218']	15	26.666666666666668
Organismal Systems	Digestive system	hsa04976	  "Bile secretion - Homo sapiens (human)"	72	['hsa:5244', 'hsa:9971', 'hsa:2778', 'hsa:109', 'hsa:5613', 'hsa:6256']	6	['hsa:6522', 'hsa:361', 'hsa:112', 'hsa:5613', 'hsa:6256', 'hsa:10257', 'hsa:3949', 'hsa:570', 'hsa:109', 'hsa:57552', 'hsa:115', 'hsa:5244', 'hsa:9971', 'hsa:6550', 'hsa:8647', 'hsa:5243', 'hsa:2778', 'hsa:6548', 'hsa:8714', 'hsa:28234', 'hsa:6513', 'hsa:9429']	22	27.27272727272727
Human Diseases	Cancers	hsa05213	  "Endometrial cancer - Homo sapiens (human)"	52	['hsa:4292', 'hsa:2932', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:595', 'hsa:2309', 'hsa:2002', 'hsa:5894', 'hsa:51176', 'hsa:7157', 'hsa:207', 'hsa:6934', 'hsa:2885']	14	['hsa:3611', 'hsa:1499', 'hsa:8313', 'hsa:5604', 'hsa:5728', 'hsa:2885', 'hsa:5290', 'hsa:2002', 'hsa:5605', 'hsa:5894', 'hsa:842', 'hsa:324', 'hsa:4609', 'hsa:51176', 'hsa:5170', 'hsa:7157', 'hsa:2064', 'hsa:207', 'hsa:5295', 'hsa:1956', 'hsa:6934', 'hsa:572', 'hsa:999', 'hsa:4292', 'hsa:2932', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:8312', 'hsa:595', 'hsa:6654', 'hsa:10000', 'hsa:8503', 'hsa:2309']	34	41.17647058823529
Human Diseases	Infectious diseases	hsa05144	  "Malaria - Homo sapiens (human)"	49	['hsa:7042', 'hsa:7043', 'hsa:7099', 'hsa:3689']	4	['hsa:7059', 'hsa:6383', 'hsa:2993', 'hsa:4615', 'hsa:6403', 'hsa:7058', 'hsa:1378', 'hsa:4035', 'hsa:2995', 'hsa:7099', 'hsa:3606', 'hsa:3689', 'hsa:3383', 'hsa:7042', 'hsa:959', 'hsa:7040', 'hsa:4233', 'hsa:975', 'hsa:3820', 'hsa:6382', 'hsa:7043']	21	19.047619047619047
Environmental Information Processing	Signal transduction	hsa04015	  "Rap1 signaling pathway - Homo sapiens (human)"	211	['hsa:2324', 'hsa:4804', 'hsa:2778', 'hsa:5594', 'hsa:5595', 'hsa:23094', 'hsa:5608', 'hsa:9693', 'hsa:1432', 'hsa:2246', 'hsa:3397', 'hsa:3791', 'hsa:5894', 'hsa:109', 'hsa:2247', 'hsa:207', 'hsa:5331', 'hsa:9223', 'hsa:3689', 'hsa:5900', 'hsa:7423', 'hsa:1902', 'hsa:27040']	23	['hsa:1499', 'hsa:5604', 'hsa:10636', 'hsa:3643', 'hsa:83660', 'hsa:7423', 'hsa:112', 'hsa:51806', 'hsa:23236', 'hsa:5587', 'hsa:5600', 'hsa:2248', 'hsa:6300', 'hsa:6714', 'hsa:5154', 'hsa:26037', 'hsa:1902', 'hsa:1500', 'hsa:801', 'hsa:6494', 'hsa:27040', 'hsa:5290', 'hsa:84612', 'hsa:5335', 'hsa:7408', 'hsa:3397', 'hsa:5605', 'hsa:3791', 'hsa:2258', 'hsa:4301', 'hsa:5894', 'hsa:5879', 'hsa:7094', 'hsa:5330', 'hsa:109', 'hsa:51196', 'hsa:2250', 'hsa:2247', 'hsa:3480', 'hsa:8631', 'hsa:207', 'hsa:1944', 'hsa:56034', 'hsa:5295', 'hsa:1956', 'hsa:56288', 'hsa:5331', 'hsa:3688', 'hsa:9223', 'hsa:5578', 'hsa:22808', 'hsa:3689', 'hsa:5900', 'hsa:2264', 'hsa:115', 'hsa:5584', 'hsa:889', 'hsa:3674', 'hsa:9855', 'hsa:5606', 'hsa:2324', 'hsa:999', 'hsa:9564', 'hsa:4804', 'hsa:2263', 'hsa:387', 'hsa:5590', 'hsa:998', 'hsa:60', 'hsa:10411', 'hsa:2533', 'hsa:2778', 'hsa:1399', 'hsa:5594', 'hsa:51378', 'hsa:5595', 'hsa:25865', 'hsa:23094', 'hsa:4233', 'hsa:2889', 'hsa:5216', 'hsa:5608', 'hsa:9693', 'hsa:1432', 'hsa:7422', 'hsa:2246', 'hsa:5159', 'hsa:2771', 'hsa:23683', 'hsa:57568', 'hsa:10000', 'hsa:8503', 'hsa:5228']	93	24.731182795698924
Human Diseases	Cancers	hsa05200	  "Pathways in cancer - Homo sapiens (human)"	398	['hsa:1387', 'hsa:7185', 'hsa:10681', 'hsa:4292', 'hsa:5915', 'hsa:2932', 'hsa:2778', 'hsa:7042', 'hsa:4436', 'hsa:25', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:1869', 'hsa:5595', 'hsa:898', 'hsa:2737', 'hsa:51684', 'hsa:8453', 'hsa:7704', 'hsa:595', 'hsa:11211', 'hsa:4437', 'hsa:2246', 'hsa:3065', 'hsa:7043', 'hsa:7849', 'hsa:6608', 'hsa:3911', 'hsa:7187', 'hsa:5894', 'hsa:9826', 'hsa:7428', 'hsa:4193', 'hsa:109', 'hsa:2247', 'hsa:51176', 'hsa:5925', 'hsa:5371', 'hsa:7157', 'hsa:207', 'hsa:405', 'hsa:1029', 'hsa:6934', 'hsa:5331', 'hsa:1487', 'hsa:5900', 'hsa:64399', 'hsa:836', 'hsa:2353', 'hsa:7423', 'hsa:3725', 'hsa:2885', 'hsa:2535', 'hsa:5613', 'hsa:6256', 'hsa:3066', 'hsa:1902', 'hsa:112398']	59	['hsa:64399', 'hsa:836', 'hsa:8323', 'hsa:5979', 'hsa:7184', 'hsa:4088', 'hsa:1499', 'hsa:8772', 'hsa:6774', 'hsa:8313', 'hsa:5604', 'hsa:5747', 'hsa:2353', 'hsa:598', 'hsa:5728', 'hsa:3913', 'hsa:54205', 'hsa:9915', 'hsa:5970', 'hsa:1163', 'hsa:7423', 'hsa:112', 'hsa:1488', 'hsa:7189', 'hsa:3725', 'hsa:2885', 'hsa:2535', 'hsa:23236', 'hsa:5613', 'hsa:6256', 'hsa:54331', 'hsa:613', 'hsa:2248', 'hsa:1282', 'hsa:3066', 'hsa:1612', 'hsa:3914', 'hsa:23365', 'hsa:5154', 'hsa:5336', 'hsa:1902', 'hsa:1147', 'hsa:112398', 'hsa:5290', 'hsa:5335', 'hsa:1026', 'hsa:7849', 'hsa:4149', 'hsa:5605', 'hsa:7186', 'hsa:6608', 'hsa:2258', 'hsa:3911', 'hsa:7187', 'hsa:5914', 'hsa:5894', 'hsa:9826', 'hsa:842', 'hsa:7428', 'hsa:9475', 'hsa:1284', 'hsa:2113', 'hsa:324', 'hsa:4193', 'hsa:54583', 'hsa:3915', 'hsa:1910', 'hsa:5879', 'hsa:4609', 'hsa:5330', 'hsa:109', 'hsa:3685', 'hsa:2250', 'hsa:2247', 'hsa:51176', 'hsa:675', 'hsa:5925', 'hsa:3480', 'hsa:5371', 'hsa:7157', 'hsa:4089', 'hsa:2064', 'hsa:207', 'hsa:405', 'hsa:6502', 'hsa:5295', 'hsa:2768', 'hsa:1956', 'hsa:1030', 'hsa:1029', 'hsa:6934', 'hsa:5331', 'hsa:3688', 'hsa:2308', 'hsa:1909', 'hsa:5578', 'hsa:7476', 'hsa:8321', 'hsa:1487', 'hsa:5900', 'hsa:1857', 'hsa:115', 'hsa:7039', 'hsa:27148', 'hsa:572', 'hsa:1856', 'hsa:1387', 'hsa:3675', 'hsa:3674', 'hsa:637', 'hsa:10928', 'hsa:330', 'hsa:355', 'hsa:999', 'hsa:7175', 'hsa:5601', 'hsa:5888', 'hsa:3909', 'hsa:7185', 'hsa:3918', 'hsa:7478', 'hsa:841', 'hsa:2263', 'hsa:387', 'hsa:11186', 'hsa:10681', 'hsa:998', 'hsa:5337', 'hsa:4292', 'hsa:9618', 'hsa:9138', 'hsa:5915', 'hsa:4791', 'hsa:862', 'hsa:3320', 'hsa:7188', 'hsa:2932', 'hsa:2950', 'hsa:2122', 'hsa:4313', 'hsa:2778', 'hsa:332', 'hsa:2323', 'hsa:3912', 'hsa:2271', 'hsa:7042', 'hsa:4436', 'hsa:3326', 'hsa:25', 'hsa:1399', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:3091', 'hsa:4792', 'hsa:4318', 'hsa:6789', 'hsa:1869', 'hsa:284217', 'hsa:5595', 'hsa:8312', 'hsa:7976', 'hsa:3551', 'hsa:898', 'hsa:7040', 'hsa:1021', 'hsa:4233', 'hsa:7472', 'hsa:2737', 'hsa:7046', 'hsa:51684', 'hsa:8030', 'hsa:8453', 'hsa:4790', 'hsa:7704', 'hsa:595', 'hsa:329', 'hsa:867', 'hsa:2735', 'hsa:1027', 'hsa:11211', 'hsa:1871', 'hsa:7422', 'hsa:3910', 'hsa:4437', 'hsa:2246', 'hsa:5159', 'hsa:2771', 'hsa:10342', 'hsa:868', 'hsa:6772', 'hsa:6654', 'hsa:2956', 'hsa:3065', 'hsa:10000', 'hsa:6513', 'hsa:8503', 'hsa:5228', 'hsa:7043']	199	29.64824120603015
Metabolism	Amino acid metabolism	hsa00260	  "Glycine, serine and threonine metabolism - Homo sapiens (human)"	40	['hsa:23464', 'hsa:2593']	2	['hsa:501', 'hsa:669', 'hsa:6470', 'hsa:6472', 'hsa:1757', 'hsa:27232', 'hsa:2593', 'hsa:29968', 'hsa:10993', 'hsa:9380', 'hsa:113675', 'hsa:635', 'hsa:5723', 'hsa:875', 'hsa:211', 'hsa:4129', 'hsa:1738', 'hsa:26227', 'hsa:23464', 'hsa:1610', 'hsa:1491']	21	9.523809523809524
Human Diseases	Infectious diseases	hsa05140	  "Leishmaniasis - Homo sapiens (human)"	74	['hsa:7042', 'hsa:5594', 'hsa:5595', 'hsa:5777', 'hsa:1432', 'hsa:7043', 'hsa:2002', 'hsa:7099', 'hsa:3460', 'hsa:3689', 'hsa:2353', 'hsa:3725']	12	['hsa:2353', 'hsa:4615', 'hsa:5970', 'hsa:7189', 'hsa:65108', 'hsa:3725', 'hsa:3654', 'hsa:5600', 'hsa:6300', 'hsa:51135', 'hsa:1378', 'hsa:718', 'hsa:2002', 'hsa:6885', 'hsa:7099', 'hsa:3688', 'hsa:3460', 'hsa:3689', 'hsa:3459', 'hsa:7042', 'hsa:5594', 'hsa:10454', 'hsa:4792', 'hsa:5595', 'hsa:7040', 'hsa:4790', 'hsa:5777', 'hsa:1432', 'hsa:6772', 'hsa:4688', 'hsa:7043']	31	38.70967741935484
Organismal Systems	Environmental adaptation	hsa04710	  "Circadian rhythm - Homo sapiens (human)"	31	['hsa:1407', 'hsa:8454', 'hsa:1385', 'hsa:5565', 'hsa:5562', 'hsa:406', 'hsa:8553', 'hsa:9575', 'hsa:1453', 'hsa:4862']	10	['hsa:8945', 'hsa:4862', 'hsa:102800317', 'hsa:5565', 'hsa:8864', 'hsa:5562', 'hsa:406', 'hsa:8553', 'hsa:9575', 'hsa:1453', 'hsa:26224', 'hsa:1407', 'hsa:8863', 'hsa:8454', 'hsa:23291', 'hsa:51422', 'hsa:5564', 'hsa:6500', 'hsa:1385', 'hsa:1408']	20	50.0
Organismal Systems	Circulatory system	hsa04261	  "Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"	149	['hsa:2778', 'hsa:1390', 'hsa:5594', 'hsa:9252', 'hsa:5595', 'hsa:1432', 'hsa:7134', 'hsa:1386', 'hsa:1385', 'hsa:468', 'hsa:109', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:783', 'hsa:5613', 'hsa:5350', 'hsa:1388']	19	['hsa:783', 'hsa:5499', 'hsa:112', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:5600', 'hsa:6300', 'hsa:4624', 'hsa:5350', 'hsa:6262', 'hsa:801', 'hsa:5500', 'hsa:1388', 'hsa:5290', 'hsa:468', 'hsa:5519', 'hsa:5330', 'hsa:109', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:9586', 'hsa:5331', 'hsa:5529', 'hsa:5578', 'hsa:55799', 'hsa:90993', 'hsa:115', 'hsa:493', 'hsa:492', 'hsa:490', 'hsa:5523', 'hsa:5527', 'hsa:10411', 'hsa:2778', 'hsa:6548', 'hsa:4625', 'hsa:1390', 'hsa:5594', 'hsa:9252', 'hsa:5595', 'hsa:5518', 'hsa:10488', 'hsa:1432', 'hsa:5528', 'hsa:2771', 'hsa:7134', 'hsa:1386', 'hsa:10000', 'hsa:8503', 'hsa:1385']	52	36.53846153846153
Metabolism	Metabolism of other amino acids	hsa00480	  "Glutathione metabolism - Homo sapiens (human)"	51	['hsa:119391', 'hsa:4258', 'hsa:4259']	3	['hsa:493869', 'hsa:6240', 'hsa:2879', 'hsa:6241', 'hsa:2877', 'hsa:26873', 'hsa:3418', 'hsa:373156', 'hsa:2946', 'hsa:2876', 'hsa:2947', 'hsa:5226', 'hsa:4259', 'hsa:2539', 'hsa:2729', 'hsa:51056', 'hsa:79017', 'hsa:4257', 'hsa:2730', 'hsa:50484', 'hsa:119391', 'hsa:2950', 'hsa:4258', 'hsa:2937', 'hsa:6611', 'hsa:2936', 'hsa:4953', 'hsa:2882', 'hsa:6723']	29	10.344827586206897
Human Diseases	Infectious diseases	hsa05150	  "Staphylococcus aureus infection - Homo sapiens (human)"	57	['hsa:3689']	1	['hsa:5724', 'hsa:2266', 'hsa:712', 'hsa:6403', 'hsa:3858', 'hsa:2204', 'hsa:728', 'hsa:718', 'hsa:714', 'hsa:715', 'hsa:3689', 'hsa:10747', 'hsa:3383']	13	7.6923076923076925
Human Diseases	Infectious diseases	hsa05110	  "Vibrio cholerae infection - Homo sapiens (human)"	54	['hsa:29927', 'hsa:2778', 'hsa:51382', 'hsa:529', 'hsa:9550', 'hsa:109', 'hsa:5613']	7	['hsa:5613', 'hsa:23545', 'hsa:5336', 'hsa:5335', 'hsa:9296', 'hsa:529', 'hsa:9550', 'hsa:109', 'hsa:375', 'hsa:526', 'hsa:5578', 'hsa:528', 'hsa:9601', 'hsa:115', 'hsa:535', 'hsa:51606', 'hsa:29927', 'hsa:537', 'hsa:60', 'hsa:2778', 'hsa:51382', 'hsa:7082', 'hsa:50617', 'hsa:10952', 'hsa:10312', 'hsa:523', 'hsa:533', 'hsa:9414']	28	25.0
Organismal Systems	Immune system	hsa04622	  "RIG-I-like receptor signaling pathway - Homo sapiens (human)"	70	['hsa:1540', 'hsa:1432', 'hsa:7187', 'hsa:64343', 'hsa:9755']	5	['hsa:8772', 'hsa:5970', 'hsa:7189', 'hsa:338376', 'hsa:5600', 'hsa:6300', 'hsa:9755', 'hsa:1147', 'hsa:3661', 'hsa:7186', 'hsa:5300', 'hsa:7187', 'hsa:6885', 'hsa:10010', 'hsa:8737', 'hsa:26007', 'hsa:64343', 'hsa:5601', 'hsa:80143', 'hsa:9474', 'hsa:841', 'hsa:55593', 'hsa:1540', 'hsa:57506', 'hsa:4214', 'hsa:4792', 'hsa:54941', 'hsa:8717', 'hsa:3551', 'hsa:23586', 'hsa:4790', 'hsa:1432', 'hsa:7706']	33	15.151515151515152
